Group,Biomass,PB,QB,Diet,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab
hyperiids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
chaetognaths,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
mysids,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
pel_microbes,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
ben_microbes,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0
ice_algae,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0
lg_phytoplankton,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0
sm_phytoplankton,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0
discards_offal,0,0,0,0,0,0,0,0,0,0,0,0,0
pelagic_detritus,0,0,0,0,0,0,0,0,0,0,0,0,0
benthic_detritus,0,0,0,0,0,0,0,0,0,0,0,0,0
beluga_harvest,,,,,,,,,,,,,
bowhead_harvest,,,,,,,,,,,,,
walrus_harvest,,,,,,,,,,,,,
bearded_seal_harvest,,,,,,,,,,,,,
ringed_seal_harvest,,,,,,,,,,,,,
spotted_seal_harvest,,,,,,,,,,,,,
ribbon_seal_harvest,,,,,,,,,,,,,
herring_harvest,,,,,,,,,,,,,
king_crabs_harvest,,,,,,,,,,,,,
