Group,Type,Biomass,PB,QB,EE,ProdCons,BioAcc,Unassim,DetInput,Disc.offal,PelDetFate,BenthDetFate,F_beluga,F_bowhead,F_walrus,F_bearded,F_ringed,F_spotted,F_ribbon,F_herring,F_king_crab,Disc_beluga,Disc_bowhead,Disc_walrus,Disc_bearded,Disc_ringed,Disc_spotted,Disc_ribbon,Disc_herring,Disc_king_crab
oth_flatfish,0,0.15981021,0.2,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skates,0,0.387396183,0.2,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eelpouts,0,0.053711038,0.4,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atka,0,9.61E-05,0.7472,7.32467,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shallow_demersals,0,0.006469036,0.4,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lg_sculpins,0,0.354730957,0.4,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oth_sculpins,0,0.044862432,0.4,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snailfish,0,0.016716366,0.4,2,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
octopus,0,,0.8,3.65,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
squids,0,,3.2,10.67,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon_returning,0,0.003227445,1.65,11.6,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salmon_smolts,0,0.001491449,1.28,13.56,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capelin,0,,0.8,3.65,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandlance,0,,8.00E-01,3.65,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow_smelt,0,0.0093,8.00E-01,3.65,,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oth_forage,0,,0.8,3.65,0.8,,0,0.2,,0.02,0.392,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bairdi,0,2.81E-05,1.60E+00,3.092486,,,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
king_crabs,0,0.023077567,0.65859,3.206973,,,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0.001021835,0,0,0,0,0,0,0,0,1.02E-06
opilio,0,1.613568103,1.2951,3.117084,,,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pandalid,0,,0.57565,2.409,0.8,,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
np_shrimp,0,,0.5756463,2.409,0.8,,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea_stars,0,2.0496653,0.34,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brittle_stars,0,,0.485,,0.8,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basket_stars,0,0.359769197,0.34,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urchin_dollar_cucs,0,0.293730982,0.695,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snails,0,0.778188825,1.77,,,0.2,0,0.2,,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
